journal_id,journal_index_date,code_group,amount_journal,kartu_piutang_id,amount_kartu_piutang,kartu_piutang_index_date
103705,26010111160006,120001,15315.00,25745,15315.00,260101111600006
103709,26010111160007,120001,1685.00,25746,1685.00,260101111600007
347264,26010111160009,120001,-43500.00,108188,-43500.00,260101111600009
359070,26010111160010,120001,-17000.00,114043,-17000.00,260101111600010
43114,26010111200001,120001,10811.00,4736,10811.00,260101112000001
43118,26010111200002,120001,1189.00,4737,1189.00,260101112000002
43122,26010111200004,120001,7207.00,4739,7207.00,260101112000004
43126,26010111200005,120001,7207.00,4740,7207.00,260101112000005
43130,26010111200006,120001,1586.00,4741,1586.00,260101112000006
347266,26010111200008,120001,-12000.00,108189,-12000.00,260101112000008
347268,26010111200009,120001,-16000.00,108190,-16000.00,260101112000009
103713,26010111230001,120001,25225.00,25748,25225.00,260101112300001
103717,26010111230002,120001,2775.00,25749,2775.00,260101112300002
359072,26010111230003,120001,-28000.00,114044,-28000.00,260101112300004
103721,26010111290001,120001,11712.00,25751,11712.00,260101112900001
103725,26010111290002,120001,5405.00,25752,5405.00,260101112900002
103729,26010111290003,120001,1883.00,25753,1883.00,260101112900003
359074,26010111290004,120001,-19000.00,114045,-19000.00,260101112900005
43134,26010111320001,120001,7658.00,4743,7658.00,260101113200001
43138,26010111320002,120001,7658.00,4744,7658.00,260101113200002
43142,26010111320003,120001,6757.00,4745,6757.00,260101113200003
43146,26010111320004,120001,2427.00,4746,2427.00,260101113200004
347270,26010111320005,120001,-24500.00,108191,-24500.00,260101113200006
103733,26010111380001,120001,16216.00,25755,16216.00,260101113800001
103737,26010111380002,120001,1784.00,25756,1784.00,260101113800002
359076,26010111380003,120001,-18000.00,114046,-18000.00,260101113800004
43150,26010111410001,120001,11712.00,4748,11712.00,260101114100001
43154,26010111410002,120001,7658.00,4749,7658.00,260101114100002
43158,26010111410003,120001,2130.00,4750,2130.00,260101114100003
347272,26010111410004,120001,-21500.00,108192,-21500.00,260101114100005
43162,26010111450001,120001,1802.00,4752,1802.00,260101114500001
43166,26010111450002,120001,4505.00,4753,4505.00,260101114500002
43170,26010111450003,120001,693.00,4754,693.00,260101114500003
347274,26010111450004,120001,-7000.00,108193,-7000.00,260101114500005
103749,26010111470001,120001,13063.00,25761,13063.00,260101114700001
103753,26010111470002,120001,1437.00,25762,1437.00,260101114700002
359080,26010111470003,120001,-14500.00,114048,-14500.00,260101114700004
43174,26010111500001,120001,70270.00,4756,70270.00,260101115000001
43178,26010111500002,120001,7730.00,4757,7730.00,260101115000002
103765,26010111500004,120001,13514.00,25767,13514.00,260101115000004
103769,26010111500005,120001,7207.00,25768,7207.00,260101115000005
103773,26010111500006,120001,10811.00,25769,10811.00,260101115000006
103777,26010111500007,120001,17117.00,25770,17117.00,260101115000007
103781,26010111500008,120001,8559.00,25771,8559.00,260101115000008
103785,26010111500009,120001,6292.00,25772,6292.00,260101115000009
103789,26010111500011,120001,10811.00,25774,10811.00,260101115000011
103793,26010111500012,120001,31532.00,25775,31532.00,260101115000012
103797,26010111500013,120001,4657.00,25776,4657.00,260101115000013
103801,26010111500015,120001,27027.00,25778,27027.00,260101115000015
